"user","age","gender","location","distribution_excellent","distribution_very_good","distribution_avergae","distribution_poor","distribution_terrible"
"debra72w","","","New York City, New York","","","","",""
"alexandros d","","man","Thessaloniki, Greece","","","","",""
"Ioana N","","","","","","","",""
"Yakov M","","man","Tel Aviv District, Israel","","","","",""
"maureend705","","","Geneva, Switzerland","3.0","8.0","5.0","0.0","0.0"
"951milann","","","","","","","",""
"Bioch","","","Verona, Italy","7.0","9.0","2.0","2.0","1.0"
"Jennifer O","","","","1.0","1.0","1.0","1.0","0.0"
"Amir H","","","Cairo, Egypt","24.0","9.0","1.0","2.0","0.0"
"DjDejan","","","Aberdeen, United Kingdom","4.0","3.0","1.0","1.0","0.0"
"kriro298","","","","","","","",""
"cosminmanea","","man","Ploiesti, Romania","","","","",""
"Katerinoula2013","25-34","woman","Budapest, Hungary","73.0","37.0","16.0","2.0","0.0"
"skemer09","","woman","Paris","89.0","25.0","7.0","1.0","0.0"
"Yorgo85","25-34","man","Beirut, Lebanon","30.0","8.0","3.0","4.0","1.0"
"asenior","","","","85.0","13.0","7.0","2.0","0.0"
"romy346","","","","","","","",""
"Heravenera","","","Belgrade, Serbia","10.0","1.0","0.0","1.0","0.0"
"Jaymarvelous_nyc","","","Brooklyn, New York","","","","",""
"C6668TL_","","","Chichester, United Kingdom","","","","",""
"Holly K","","","Washington DC, District of Columbia","31.0","17.0","6.0","0.0","0.0"
"salievy","","","Sofia, Bulgaria","","","","",""
"ufukm609","","","Istanbul, Turkey","","","","",""
"citizenAthens","","man","athens","9.0","11.0","3.0","1.0","2.0"
"christophe p","From Combs-la","","Combs-la-Ville, France","1.0","1.0","0.0","0.0","1.0"
"Stephanie J","","","Sydney, Australia","4.0","0.0","0.0","0.0","0.0"
"Aycoline","","","Istanbul, Turkey","","","","",""
"shirley h","","","Jerusalem, Israel","3.0","0.0","0.0","0.0","0.0"
"Kutluk A","50-64","man","Istanbul, Turkey","20.0","19.0","3.0","2.0","0.0"
"HenrySanikidze","","","Batumi, Georgia","3.0","1.0","0.0","1.0","0.0"
"_J7657AE","","","Athens, Greece","","","","",""
"wilmdieter","","man","Ettlingen, Germany","","","","",""
"Excursion714581","35-49","man","Piraeus Region, Greece","","","","",""
"cesen2017","","","","","","","",""
"_C5292DY","","","West Greece, Greece","","","","",""
"njoncic","","man","High Wycombe","8.0","1.0","0.0","0.0","0.0"
"KostasKarvounis","","","Corfu, Greece","","","","",""
"761francoc","","","Bergamo, Italy","9.0","29.0","10.0","1.0","0.0"
"ur_sert","35-49","man","Istanbul, Turkey","3.0","10.0","1.0","4.0","2.0"
"alexiosa510","","","","8.0","2.0","3.0","2.0","3.0"
"fadyk_13","","","Beirut, Lebanon","14.0","2.0","0.0","1.0","0.0"
"_P2987QP","","","Limassol City, Cyprus","","","","",""
"AnnaM11344","","man","Oldenburg, Germany","","","","",""
"In60s","","man","Melbourne, Australia","48.0","107.0","106.0","33.0","7.0"
"yalabou86","","","Chantilly City, France","4.0","0.0","1.0","0.0","0.0"
"Roula K","","woman","Athens, Greece","27.0","13.0","3.0","0.0","0.0"
"Sakisvvv","","","Portaria, Greece","","","","",""
"Zarko T","","","Skopje, Republic of Macedonia","3.0","2.0","1.0","0.0","0.0"
"834eyalb","","","Haifa, Israel","","","","",""
"Yuraa","","","Moscow, Russia","","","","",""
"549cahitt","","","Istanbul, Turkey","1.0","1.0","0.0","0.0","1.0"
"Yaron19","","","","","","","",""
"christinegR3044AX","","","Chicago, Illinois","","","","",""
"Νικολ Ι","","","Orestiada, Greece","","","","",""
"tuomas2017","","","Turku, Finland","","","","",""
"arzuy525","","","Ankara, Turkey","","","","",""
"nataliejoanh","","","Rhodes","","","","",""
"maticeva2017","","","Belgrade, Serbia","","","","",""
"dogukans869","","","Istanbul, Turkey","","","","",""
"oliverc62","","man","Manchester, United Kingdom","","","","",""
"_M2049NA","","","Athens, Greece","","","","",""
"Z1291KX_","","","Athens, Greece","","","","",""
"yannis332","","","Paris, France","","","","",""
"NikosF90","","","Province of Varese, Italy","","","","",""
"Vagelis S","","","Athens, Greece","","","","",""
"Dinagj","","","Michigan","","","","",""
"tassosa180","","","Athens, Greece","2.0","3.0","2.0","0.0","0.0"
"T4353EW_","","","Athens, Greece","","","","",""
"162dimitrisp","","","Athens, Greece","1.0","0.0","1.0","0.0","3.0"
"_V6924RT","","","Athens, Greece","","","","",""
"_G8803OE","","","Athens, Greece","","","","",""
"tomislavstavric","","","Belgrade, Serbia","","","","",""
"Stefanos V","","","Athens, Greece","","","","",""
"sinansadie","","","Istanbul, Turkey","","","","",""
"_L8364JD","","","Athens, Greece","","","","",""
"Steve G","","man","London, United Kingdom","100.0","77.0","55.0","15.0","7.0"
"christy_ina","","","London, United Kingdom","","","","",""
"Alexis T","","","Drama, Greece","4.0","3.0","6.0","0.0","1.0"
"Γιαννα Μ","","","Athens, Greece","2.0","3.0","0.0","0.0","0.0"
"georgegounnaris","","","Athens","4.0","1.0","1.0","0.0","0.0"
"Y6688TP_","","","Kavala, Greece","","","","",""
"visit0r2017","","","Orestiada, Greece","","","","",""
"turgutpamuklu","","","Istanbul, Turkey","8.0","11.0","1.0","0.0","0.0"
"793veselag","","","Saedinenie, Bulgaria","","","","",""
"_M8077OR","","","Athens, Greece","","","","",""
"Kypros S","","","Nicosia, Cyprus","2.0","2.0","0.0","0.0","0.0"
"N7890FC_","","","Kavala, Greece","2.0","0.0","1.0","0.0","0.0"
"_C2994BS","","","Xanthi, Greece","","","","",""
"seyedmozafar","","","Thessaloniki, Greece","","","","",""
"Thanos L","","","Athens, Greece","","","","",""
"_H913RI","","","Athens, Greece","","","","",""
"davidsI3580VQ","","","Munich","","","","",""
"Rexhep I","","man","Pristina, Kosovo","0.0","1.0","1.0","0.0","1.0"
"_Z5522TX","","","Nicosia, Cyprus","","","","",""
"AlmaGreco","50-64","woman","Tarpon Springs, Florida","11.0","2.0","2.0","3.0","1.0"
"gpittas","","","Athens","","","","",""
"wensellg","","","Athens, Greece","","","","",""
"Fabrizio S","","man","Pisa, Italy","","","","",""
"H6316HX_","","","Rhodes, Greece","","","","",""
"joaograca2017","","","Lisbon, Portugal","","","","",""
"Jelena M","18-24","woman","Thessaloniki Region, Greece","5.0","0.0","0.0","2.0","0.0"
"nicolaosa2017","","","Geneva, Switzerland","","","","",""
"tgmr","35-49","man","Moscow, Idaho","2.0","2.0","1.0","1.0","0.0"
"_C8778YW","","","Athens, Greece","","","","",""
"ref5412","","","Marathon, Greece","","","","",""
"anasasa31","","","Trieste, Italy","3.0","0.0","0.0","0.0","0.0"
"ani2017","","","Kecskemet, Hungary","","","","",""
"zouganelim","","","Athens, Greece","","","","",""
"Dave7090","50-64","man","Halifax, United Kingdom","16.0","2.0","0.0","1.0","0.0"
"T9387NF_nat","","","Kozani, Greece","","","","",""
"N5397GN_","","","Thessaloniki, Greece","","","","",""
"andreaspas","35-49","man","Manchester, United Kingdom","1.0","6.0","3.0","0.0","1.0"
"yusef_tiansyah","","","Jakarta, Indonesia","","","","",""
"Z9436HC_","","","Komotini, Greece","","","","",""
"Y5298FO_","","","Larissa, Greece","","","","",""
"E9449QS_","","","Athens, Greece","","","","",""
"_P5714GK","","","Athens","","","","",""
"_D7543XY","","","Athens, Greece","","","","",""
"ma_chrono","","","Athens, Greece","","","","",""
"karensarhon","","","Istanbul, Turkey","54.0","11.0","5.0","2.0","0.0"
"Andreea0703","","","Zurich, Switzerland","4.0","5.0","2.0","3.0","1.0"
"Teodor2","","","","","","","",""
"_P4955TT","","","Athens, Georgia","0.0","0.0","1.0","0.0","2.0"
"283marleneb","","","Limassol City, Cyprus","","","","",""
"A7589ZZ_","","","Athens, Greece","","","","",""
"ΣΩΤΗΡΗΣ Π","","","Athens, Greece","","","","",""
"V6926OZ_","","","Athens, Greece","","","","",""
"frogfly","","","Brescia, Italy","5.0","2.0","3.0","3.0","1.0"
"pa0007","50-64","man","London, United Kingdom","10.0","32.0","10.0","1.0","0.0"
"Costas S","","","Athens","","","","",""
"_H2706XM","","","Athens, Greece","11.0","1.0","0.0","0.0","0.0"
"Tammy_Giabourani_","","","Athens, Greece","5.0","1.0","0.0","0.0","0.0"
"Bernie A","50-64","woman","Aígio, Achaia, Greece","5.0","1.0","0.0","0.0","1.0"
"Hasan A","","","Istanbul, Turkey","5.0","0.0","0.0","0.0","0.0"
"Abarbi","","","","16.0","3.0","0.0","2.0","1.0"
"ulrike199","","man","Duisburg, Germany","","","","",""
"Stuart G","35-49","man","London, United Kingdom","15.0","2.0","1.0","2.0","3.0"
"anthanos","","","Volos, Greece","","","","",""
"Lucy-travel-diary","","","Geneva, Switzerland","4.0","5.0","1.0","1.0","3.0"
"JanetSouthAus","","","Grange, Australia","","","","",""
"dannyella","25-34","woman","Bucharest","27.0","70.0","16.0","2.0","0.0"
"AstridV850","35-49","woman","Wassenaar, The Netherlands","69.0","45.0","18.0","2.0","2.0"
"Wolrdwide","","woman","London, United Kingdom","52.0","98.0","38.0","15.0","7.0"
"PNP2013","","man","Athens, Greece","2.0","10.0","9.0","1.0","1.0"
"markoradin","","man","Novi Sad, Serbia","23.0","4.0","1.0","0.0","0.0"
"ShifraToronto","50-64","woman","toronto","272.0","96.0","38.0","10.0","4.0"
"cakesandmore70","35-49","woman","Nicosia, Cyprus","40.0","39.0","23.0","11.0","4.0"
"Trudy G","","","Souderton, Pennsylvania","41.0","1.0","2.0","1.0","0.0"
"199paraskevid","","","Chicago, Illinois","","","","",""
"alexisd392","","","Bonita Springs, Florida","3.0","0.0","0.0","0.0","0.0"
"eleonorae991","","","Razgrad, Bulgaria","","","","",""
"GURDENIZ M","50-64","man","Bursa Province, Turkey","92.0","46.0","13.0","2.0","0.0"
"Z4637YVsteveng","","","Melbourne, Australia","","","","",""
"carolinejramin","","","Rochester Hills, Michigan","","","","",""
"stella_komninou","","","Nicosia","","","","",""
"AndreiTomescu","","","Abu Dhabi, United Arab Emirates","","","","",""
"904jacquelinej","","","Cusco, Peru","4.0","0.0","1.0","1.0","0.0"
"Miumiu306","","","London, United Kingdom","","","","",""
"Γ Π","","","Athens, Greece","3.0","0.0","0.0","0.0","0.0"
"Amos V","","man","Haifa, Israel","7.0","9.0","3.0","0.0","0.0"
"203maschas","","man","New Germany, Canada","","","","",""
"Michael-iPad","","","Wollongong, Australia","3.0","0.0","1.0","0.0","0.0"
"V6041IC_","","","Famagusta District, Cyprus","","","","",""
"GrgPS","","","Athens, Greece","3.0","1.0","0.0","0.0","0.0"
"F4746SL_","","","Athens, Greece","","","","",""
"R4312OW_","","","Limassol City, Cyprus","6.0","1.0","0.0","1.0","0.0"
"StephanieCY","25-34","woman","Cyprus","18.0","2.0","1.0","0.0","0.0"
"alexsC8501SS","25-34","man","Milan, Italy","28.0","38.0","16.0","5.0","4.0"
"sofia0705","","","Watford, United Kingdom","","","","",""
"_Y7122ZK","","","Athens, Greece","","","","",""
"Douge_Yales","35-49","man","United Kingdom","","","","",""
"J4678WM_","","","Larnaka District, Cyprus","","","","",""
"Shlomo R","","","Giv'atayim, Israel","2.0","0.0","0.0","0.0","1.0"
"laurenta855","","","Paris, France","","","","",""
"Yvonne p","","","Stockholm, Sweden","3.0","0.0","0.0","0.0","0.0"
"5891_Marianna","","","Brussels, Belgium","","","","",""
"_A240NN","","man","Stuttgart, Germany","","","","",""
"socolovr","","man","Iasi, Romania","","","","",""
"479petaru","","","Sofia, Bulgaria","12.0","2.0","0.0","0.0","0.0"
"T3176DF_","","","Trikala, Greece","","","","",""
"Paomania13","","","Elefsina, Greece","5.0","3.0","0.0","0.0","2.0"
"349steph","","","Leeds, United Kingdom","","","","",""
"W2380UV_","","","Athens, Greece","","","","",""
"667shmuelm","","","Sofia, Bulgaria","","","","",""
"tonysL1343OK","","","Thessaloniki Region, Greece","","","","",""
"Petrit K","","man","Pristina, Kosovo","","","","",""
"S4378GC_","","","Athens, Greece","","","","",""
"Mamtakhanal B","","","Thesaloniki","","","","",""
"johnmJ2968CP","","","Thessaloniki, Greece","","","","",""
"Александр П","","","Kiev","","","","",""
"Panayiotou","","","Protaras, Cyprus","2.0","1.0","0.0","0.0","0.0"
"shelovesblue","","","Province of Malaga, Spain","","","","",""
"SteoG5972","35-49","man","Turin, Italy","0.0","3.0","1.0","1.0","0.0"
"_A4105JB","","","Athens, Greece","","","","",""
"_Y4598MX","","","Athens, Greece","","","","",""
"astridcal17","","","Amsterdam, The Netherlands","","","","",""
"Владимир П","","man","St. Petersburg, Russia","7.0","6.0","2.0","0.0","0.0"
"osherzoro","","man","Tel Aviv, Israel","3.0","0.0","0.0","0.0","0.0"
"_V5062JT","","","Patras, Greece","","","","",""
"X6340JT_","","","Athens, Greece","","","","",""
"Artūras G","","man","Vilnius, Lithuania","","","","",""
"Q2881AP_","","","kifissia","","","","",""
"georgiar236","","","Athens, Greece","","","","",""
"Nikolaos D","","man","Athens, Greece","2.0","3.0","0.0","0.0","0.0"
"asiminaefk","","","Athens","","","","",""
"demirkazikb","","","Istanbul, Turkey","","","","",""
"Bloodghast","","man","Athens, Greece","","","","",""
"NikolettaS96","","","Athens, Greece","","","","",""
"L8606KD_","","","Athens, Greece","","","","",""
"venelina2016","","","Sofia, Bulgaria","3.0","1.0","0.0","0.0","0.0"
"Joseph G","","","Jerusalem, Israel","8.0","2.0","1.0","0.0","0.0"
"974irenaz","","","Belgrade, Serbia","","","","",""
"30fyll0s","","","Athens, Greece","","","","",""
"atacan0","","","Istanbul, Turkey","","","","",""
"samx76","","","Athens, Greece","","","","",""
"syrimisk","","","London, United Kingdom","2.0","2.0","0.0","2.0","0.0"
"T90QClouisec","","woman","Athens, Greece","","","","",""
"PetritI_12","","","","8.0","4.0","1.0","0.0","0.0"
"Athanasopoulos G","","","Athens, Greece","15.0","9.0","2.0","0.0","0.0"
"S7121BQ_","","","Athens, Greece","","","","",""
"KiriakosP10","","","Athens, Greece","","","","",""
"_V3992XQ","","","Athens, Greece","","","","",""
"Aylin H","","woman","Varna, Bulgaria","","","","",""
"Vladimir D","","","Skopje, Republic of North Macedonia","","","","",""
"KaterinaR152","","man","Cologne, Germany","","","","",""
"Rok R","","","Kragujevac, Serbia","","","","",""
"G4183BL_","","","Athens, Greece","","","","",""
"tomanthonyj","","","Dubai, United Arab Emirates","","","","",""
"SonjaV833","","","Hotedrsica,Slovenia","","","","",""
"432ievac","","","Riga, Latvia","2.0","1.0","0.0","0.0","0.0"
"guareschia","","","Mezzani, Italy","","","","",""
"_E7537RM","","","Kavala, Greece","","","","",""
"michaliskl2016","","","Nicosia, Cyprus","","","","",""
"539ernestop","","","Tintern, United Kingdom","","","","",""
"durmazh","","","Izmir, Turkey","","","","",""
"D' Anella M","","","Rome, Italy","","","","",""
"Nadia1912","","","Sofia, Bulgaria","1.0","2.0","0.0","0.0","0.0"
"semih302","","","Istanbul, Turkey","","","","",""
"thanasisk545","","","Piraeus, Greece","","","","",""
"VasilikiVolos","","","Volos, Greece","7.0","0.0","0.0","0.0","0.0"
"ysn97","","man","Rehovot, Israel","23.0","0.0","0.0","0.0","0.0"
"Melani P","","","","","","","",""
"760dieterg","","","Athens, Greece","","","","",""
"GiorgosGio","","","Athens, Greece","","","","",""
"T7493CK_","","","Athens, Greece","1.0","2.0","0.0","0.0","0.0"
"_J8416XK","","","Syros, Greece","","","","",""
"georkali","","","Didymoteicho, Greece","","","","",""
"kaplania","","","Tirana","","","","",""
"dagkask","","","Greater London, United Kingdom","","","","",""
"701darinan","35-49","woman","Tirana, Albania","17.0","6.0","5.0","0.0","1.0"
"F5379LLjamesb","","man","Newcastle, United Kingdom","56.0","14.0","1.0","2.0","4.0"
"W5901AN_","","","Coffeyville, Kansas","","","","",""
"asgariangabrielle","","","Boston, Massachusetts","","","","",""
"canbengisu","25-34","man","Izmir, Turkey","13.0","31.0","13.0","3.0","0.0"
"linam207","","","Rotterdam, The Netherlands","","","","",""
"nik0l0vad","","","Sofia","","","","",""
"Apostolis F","","","Larissa, Greece","4.0","0.0","0.0","0.0","0.0"
"AntoNic7","","man","Paphos, Cyprus","193.0","102.0","78.0","9.0","7.0"
"BengisuEb","","","Izmir, Turkey","","","","",""
"Dalbeler","","","Istanbul, Turkey","","","","",""
"Loz1976","35-49","man","London, UK","9.0","8.0","4.0","2.0","1.0"
"athanasiosp2016","","","Athens, Greece","","","","",""
"filipposgeorgiosx","","","Athens, Greece","","","","",""
"Argy_Bill","","","Athens, Greece","","","","",""
"evangelosa67","","","Athens, Greece","","","","",""
"pavlosspathis","","","Athens, Greece","","","","",""
"Z_X5115KJ","","","Newcastle upon Tyne, United Kingdom","","","","",""
"Marija B","","","Skopje, Republic of North Macedonia","","","","",""
"sophie_mav","","","Athens, Greece","4.0","1.0","0.0","0.0","0.0"
"502nikosx","35-49","man","Athens, Greece","24.0","10.0","8.0","2.0","0.0"
"730harris","","","Athens, Greece","1.0","2.0","0.0","0.0","0.0"
"eystathiosm","","","Athens, Greece","","","","",""
"solotraveller983","","","Komotini, Greece","","","","",""
"45marih","","","Athens, Greece","","","","",""
"vasileiosb450","","","Karditsa","","","","",""
"YucelOzacar","35-49","man","Yalova, Turkey","74.0","14.0","8.0","2.0","0.0"
"iva173","","","Skopje, Republic of Macedonia","","","","",""
"monica_anghel1976","","man","Pitesti, Romania","","","","",""
"Darkosky","35-49","man","Skopje, Republic of North Macedonia","2.0","1.0","1.0","0.0","0.0"
"sfsd308","","","San Francisco, California","","","","",""
"georgiosf587","","","Karditsa, Greece","","","","",""
"Λυδια Τ","","","lamia","9.0","5.0","2.0","2.0","5.0"
"fotis_sd","","","Athens, Greece","","","","",""
"tihomirt53","","","Sofia","","","","",""
"Katsiaryna S","","man","Munich, Germany","","","","",""
"244serdary","","","Istanbul, Turkey","","","","",""
"Sualtay","","","","13.0","0.0","0.0","0.0","0.0"
"stefankV1810BJ","","","Sofia, Bulgaria","","","","",""
"918christosf","","","Thessaloniki, Greece","","","","",""
"37lida","","woman","Florina, Greece","","","","",""
"peterhamilton717","","","Brisbane, Australia","3.0","0.0","0.0","0.0","1.0"
"panettman","","man","Rhodes, Greece","22.0","8.0","1.0","1.0","1.0"
"viacheslacvm","","","Odessa, Ukraine","","","","",""
"479evgenial","","","Athens, Greece","27.0","21.0","6.0","3.0","1.0"
"Pavlou_Pers","25-34","woman","Nicosia, Cyprus","45.0","35.0","6.0","2.0","1.0"
"zoricac486","","","Belgrade","","","","",""
"meirelesg","","","Porto, Portugal","","","","",""
"pseisog","35-49","man","Athens, Greece","28.0","34.0","10.0","2.0","0.0"
"Tesvanweelie","35-49","woman","Vlaardingen, The Netherlands","24.0","100.0","50.0","52.0","34.0"
"Milos C","","","Belgrade, Serbia","","","","",""
"333samuelj","","","London, United Kingdom","","","","",""
"Lida K","","","","","","","",""
"Elina T","35-49","","Argostoli","19.0","5.0","5.0","3.0","0.0"
"katerinaa604","25-34","woman","Piraeus, Greece","3.0","5.0","2.0","0.0","0.0"
"giorgosv114","","","Piraeus, Greece","","","","",""
"kristinad233","","","Chelyabinsk, Russia","6.0","0.0","0.0","0.0","0.0"
"Alex P","Man from Cesena, Emilia-Romagna,","man","Cesena, Emilia-Romagna, Italy","2.0","1.0","0.0","0.0","0.0"
"484vassili","","","Sofia, Bulgaria","","","","",""
"konstantinospatistas","","","Athens, Greece","","","","",""
"amarymr","35-49","woman","Rio de Janeiro, RJ","0.0","3.0","1.0","0.0","0.0"
"kackos","","","","2.0","2.0","0.0","1.0","1.0"
"elninho2015","","","Belgrade, Serbia","","","","",""
"Seleukos62","50-64","man","Helmond, The Netherlands","17.0","41.0","1.0","0.0","0.0"
"Casantika","","","Rhodes, Greece","4.0","0.0","0.0","0.0","1.0"
"295olyd","25-34","woman","Athens, Greece","25.0","12.0","2.0","0.0","0.0"
"angelaaH5748DF","","","Sydney, Australia","","","","",""
"AFreeman77","","","Athens, Greece","10.0","1.0","0.0","0.0","0.0"
"Tipa M","35-49","man","Timisoara, Romania","11.0","3.0","2.0","2.0","5.0"
"feri329","","man","Dusseldorf, Germany","","","","",""
"Art1P","","","London, United Kingdom","","","","",""
"Johnys1954","","","","","","","",""
"Bogdan-Alexandru","","man","Bucharest, Romania","12.0","7.0","1.0","0.0","1.0"
"K M","","","Nicosia, Cyprus","2.0","0.0","1.0","0.0","2.0"
"Christompa","","","Moscow, Russia","5.0","0.0","0.0","0.0","0.0"
"nedecodd","","","","10.0","0.0","0.0","0.0","1.0"
"Thinkertravel","","","","","","","",""
"F7113MI_","","","Athens, Greece","","","","",""
"Lavinia I","","","","","","","",""
"656klausm","","man","Halle (Saale), Germany","","","","",""
"filipp0teresi0b","","","Borgosesia, Italy","9.0","5.0","4.0","2.0","0.0"
"BEATEV21250G","","","halkidiki","9.0","2.0","0.0","0.0","0.0"
"fekish","25-34","man","Limassol City, Cyprus","13.0","2.0","8.0","14.0","11.0"
"Monika N","","","Thessaloniki, Greece","","","","",""
"Martina D","","","Belgrade, Serbia","2.0","2.0","0.0","0.0","0.0"
"Lai O","50-64","man","Shah Alam, Malaysia","9.0","24.0","13.0","2.0","0.0"
"Kelly H","","","Crawley, United Kingdom","2.0","3.0","0.0","0.0","0.0"
"atansug","","","Istanbul, Turkey","","","","",""
"theluxman","","man","Boblingen, Germany","1.0","1.0","1.0","0.0","0.0"
"luigid775","25-34","man","Rome, Italy","128.0","71.0","28.0","16.0","4.0"
"Kostas C","","","","","","","",""
"Mesam93","","","","","","","",""
"moisetcp","","","London, United Kingdom","10.0","15.0","7.0","2.0","2.0"
"JonathanMarks","50-64","man","Huizen, The Netherlands","40.0","68.0","38.0","4.0","0.0"
"axsan","","","Santorini","2.0","7.0","0.0","0.0","0.0"
"gurhan c","","","Istanbul, Turkey","12.0","6.0","0.0","0.0","0.0"
"Zoran K","","","","45.0","4.0","0.0","0.0","0.0"
"TheZeuSN","","","Haifa, Israel","3.0","0.0","0.0","0.0","2.0"
"Modest613","25-34","man","Manchester, United Kingdom","36.0","25.0","20.0","10.0","6.0"
"egadirie","","","","9.0","8.0","1.0","0.0","0.0"
"DeyanaKrasteva","25-34","woman","Nicosia, Cyprus","","","","",""
"scoa s","","woman","Athens","21.0","14.0","6.0","2.0","2.0"
"eksg","","woman","Athens, Greece","36.0","16.0","14.0","2.0","1.0"
"notalota","35-49","woman","Kerrville, Texas","9.0","2.0","7.0","1.0","2.0"
"filipposa2015","","","Thessaloniki, Greece","4.0","0.0","0.0","0.0","0.0"
"Antigoni N","","","London, United Kingdom","3.0","3.0","0.0","0.0","0.0"
"Andrew T","","","Kingsville, Texas","4.0","3.0","0.0","1.0","0.0"
"kathrine2011","35-49","woman","Perth, Australia","8.0","6.0","1.0","0.0","1.0"
"Christina P","","","","0.0","2.0","0.0","1.0","0.0"
"SuzanneC1616","","","","","","","",""
"MERTUS1","35-49","man","Nicosia, Cyprus","16.0","10.0","6.0","4.0","1.0"
"Iulius J","","","","","","","",""
"billy b","50-64","man","port elizabeth south africa","80.0","34.0","7.0","0.0","1.0"
"Roxana J","","","","","","","",""
"fcapoel","","","Nicosia","9.0","13.0","6.0","0.0","0.0"
"477Bella","","","Yerevan, Armenia","","","","",""
"ArmenuhiG","18-24","woman","Yerevan, Yerevan, Armenia","","","","",""
"Julie D","","","Brussels, Belgium","1.0","0.0","1.0","0.0","1.0"
"BeJonny","","","Limassol City, Cyprus","1.0","3.0","1.0","0.0","0.0"
"SiriusSkier23","35-49","man","Nosara, Costa Rica","227.0","177.0","58.0","14.0","16.0"
"RabbiYis","","","Jerusalem, Israel","10.0","1.0","0.0","0.0","0.0"
"Dimitris T","35-49","man","Nicosia, Cyprus","2.0","0.0","1.0","0.0","0.0"
"189400_22","25-34","man","Athens, Greece","","","","",""
"nadinkata","","","Sofia, Bulgaria","4.0","0.0","0.0","0.0","0.0"
"kimmiek386","","","Fort Walton Beach, Florida","122.0","40.0","9.0","2.0","0.0"
"Georgios G","","man","Thessaloniki, Makedonia, Greece","23.0","10.0","5.0","0.0","0.0"
"SBgirl_13","","","Boston, Massachusetts","4.0","5.0","3.0","0.0","0.0"
"JerkerH_13","50-64","man","Paphos, Cyprus","13.0","32.0","5.0","0.0","0.0"
"Brikena S","","","Pristina, Kosovo","7.0","7.0","0.0","0.0","0.0"
"cristalyze","25-34","woman","Sofia, Bulgaria","18.0","2.0","1.0","1.0","0.0"
"Carolinus","35-49","woman","London, United Kingdom","26.0","14.0","2.0","1.0","1.0"
"Ioana T","","woman","Sofia, Bulgaria","82.0","29.0","10.0","4.0","0.0"
"pilotakos","25-34","man","Athens, Greece","1.0","1.0","1.0","0.0","0.0"
"olympus h","35-49","man","greece","22.0","42.0","15.0","0.0","1.0"
"absucan","","","","27.0","17.0","4.0","3.0","1.0"
"Jelena G","","","Novi Sad, Serbia","5.0","0.0","0.0","0.0","0.0"
"YorkshireGypsygirl","","woman","Yorkshire","19.0","38.0","24.0","5.0","3.0"
"201adeler","","","Jerusalem, Yerushalayim, Israel","4.0","1.0","0.0","0.0","0.0"
"ezsme","","woman","Luxembourg","15.0","15.0","14.0","10.0","8.0"
"BozidarS","35-49","man","Skopje, Republic of North Macedonia","4.0","5.0","4.0","0.0","0.0"
"Maria H","25-34","woman","Timisoara","2.0","7.0","0.0","0.0","0.0"
"R0BIE","35-49","man","Bucharest, Romania","0.0","18.0","4.0","8.0","0.0"
"atesakinci","","man","Province of Barcelona, Spain","65.0","102.0","23.0","10.0","2.0"
"Tuzlak73","","","Tuzla, Bosnia and Herzegovina","14.0","13.0","3.0","1.0","0.0"
"Cocic","35-49","woman","Skopje, Republic of North Macedonia","10.0","7.0","5.0","0.0","0.0"
"Meir R","","","Ashkelon, Israel","0.0","3.0","1.0","0.0","0.0"
"Serra A","35-49","woman","Istanbul, Istanbul, Turkey","10.0","2.0","2.0","0.0","3.0"
"der-berger3","18-24","man","Zeltweg, Austria","4.0","0.0","0.0","0.0","0.0"
"Kxmi","35-49","woman","Ηρακλειο Κρητης","7.0","12.0","7.0","2.0","0.0"
"larev08","","woman","greece","4.0","6.0","6.0","0.0","0.0"
"fluppet88","","","London, United Kingdom","","","","",""
"Peter P","50-64","man","Thames Ditton, United Kingdom","11.0","9.0","2.0","0.0","0.0"
"Friskymind","","","","0.0","0.0","0.0","1.0","2.0"
"Vics177","","","Liverpool, United Kingdom","2.0","1.0","1.0","0.0","1.0"
"chasmania","","","Caesarea","24.0","21.0","2.0","3.0","0.0"
"Wei_Shin","","","Singapore, Singapore","2.0","7.0","5.0","0.0","0.0"
"coffeemavenswife","","woman","Rehovot, Israel","55.0","72.0","35.0","19.0","3.0"
"DDD034","","","London, United Kingdom","5.0","1.0","0.0","0.0","0.0"
"AryanaToronto","","","Chicago, Illinois","46.0","38.0","12.0","7.0","4.0"
"eL1eG","","","Adelaide, Australia","3.0","6.0","1.0","0.0","0.0"
"FotisAthens","35-49","man","Munich, Germany","6.0","20.0","6.0","1.0","1.0"
"Mungbean48","","woman","Peterborough, England","9.0","0.0","0.0","0.0","0.0"
"NorfolkUK086","35-49","man","Norwich, United Kingdom","10.0","10.0","2.0","0.0","0.0"
"ajatraveler","","","Albuquerque, New Mexico","11.0","24.0","5.0","0.0","0.0"
"elenacy","25-34","woman","cyprus","16.0","1.0","3.0","1.0","0.0"
"Iakovos T","25-34","man","Protaras, Cyprus","26.0","6.0","3.0","1.0","0.0"
"Antenutza","35-49","woman","Bucharest, Romania","9.0","16.0","4.0","1.0","0.0"
"kyritsimar","","","Reading, United Kingdom","","","","",""
"sanCyprus","25-34","man","Larnaca, Cyprus","62.0","65.0","23.0","7.0","4.0"
"lpc1981","25-34","man","London, United Kingdom","","","","",""
"xmarkens","","","San Diego, CA","20.0","4.0","3.0","1.0","3.0"
"TLOZ_9","","","NY","0.0","1.0","0.0","1.0","1.0"
